samples	Euazolla/rhizosperma	subgroup	species
Nazollae_Acaroliniana_1	Euazolla	caroliniana	caroliniana
Nazollae_Acaroliniana_2	Euazolla	caroliniana	caroliniana
Nazollae_Afiliculoides_lab	Euazolla	filiculoides_rubra	filiculoides
Nazollae_Afiliculoides_lab_nanopore	Euazolla	filiculoides_rubra	filiculoides
Nazollae_Afiliculoides_reference_0708	Euazolla	filiculoides_rubra	filiculoides
Nazollae_Afiliculoides_wild	Euazolla	filiculoides_rubra	filiculoides
Nazollae_Amexicana	Euazolla	mexicana_microphylla	mexicana
Nazollae_Anilotica	Rhizosperma	Rhizosperma	nilotica
Nazollae_Apinnata_nanopore	Rhizosperma	Rhizosperma	pinnata
Nazollae_Arubra	Euazolla	filiculoides_rubra	rubra
Nazollae_microphylla	Euazolla	mexicana_microphylla	microphylla
