key	Azfil_cp1_4	illumina_Azcar1	illumina_Azcar2	illumina_Azfil_lab	illumina_Azmexicana	illumina_Azmicrophylla	illumina_Aznilotica	illumina_Azrubra	nanopore_Azfil_lab	nanopore_Azpinnata	nanopore_Azsp_bordeaux
Azfil_cp1_4	147665.0	146586.0	146637.0	146639.0	145406.0	144387.0	135290.0	146188.0	147580.0	134166.0	143019.0
illumina_Azcar1	147134.0	149355.0	149338.0	147141.0	146653.0	146385.0	138073.0	146973.0	148090.0	135265.0	146282.0
illumina_Azcar2	144618.0	146490.0	147592.0	143610.0	144732.0	145551.0	136100.0	143366.0	145570.0	136245.0	145486.0
illumina_Azfil_lab	148192.0	146999.0	147463.0	148469.0	146486.0	145933.0	137841.0	148005.0	148374.0	135417.0	143758.0
illumina_Azmexicana	144756.0	146048.0	147072.0	143738.0	149216.0	146932.0	135863.0	142788.0	145713.0	134483.0	147589.0
illumina_Azmicrophylla	144746.0	144889.0	145126.0	143880.0	147864.0	148436.0	135614.0	144498.0	144842.0	133577.0	145804.0
illumina_Aznilotica	177466.0	177656.0	178659.0	175544.0	175249.0	176074.0	191786.0	179225.0	177414.0	180760.0	174146.0
illumina_Azrubra	147412.0	145749.0	145859.0	146449.0	144406.0	143653.0	136482.0	147851.0	147397.0	136061.0	139794.0
nanopore_Azfil_lab	179810.0	177322.0	177773.0	178907.0	176301.0	175183.0	161595.0	177637.0	180068.0	162723.0	176026.0
nanopore_Azpinnata	140438.0	140663.0	141552.0	138270.0	140229.0	140285.0	140479.0	138122.0	140426.0	152158.0	140375.0
nanopore_Azsp_bordeaux	143610.0	145024.0	145378.0	142699.0	146409.0	145703.0	133268.0	140759.0	143813.0	133381.0	147257.0
