key	Azfi_mito_v1	illumina_Azcar1	illumina_Azcar2	illumina_Azfil_lab	illumina_Azmexicana	illumina_Azmicrophylla	illumina_Aznilotica	illumina_Azrubra	nanopore_Azfil_lab	nanopore_Azpinnata	nanopore_Azsp_bordeaux
Azfi_mito_v1	140929.0	88166.0	89070.0	106570.0	96942.0	105004.0	2799.0	97350.0	47261.0	102824.0	56662.0
illumina_Azcar1	145569.0	164245.0	153655.0	154010.0	133450.0	134600.0	4246.0	105320.0	80826.0	122859.0	75464.0
illumina_Azcar2	140985.0	152519.0	159772.0	146223.0	124779.0	120384.0	2714.0	98597.0	78999.0	113355.0	72907.0
illumina_Azfil_lab	171532.0	157846.0	153753.0	182331.0	148359.0	158221.0	2691.0	149190.0	97431.0	137734.0	100382.0
illumina_Azmexicana	169558.0	155964.0	160036.0	164265.0	191634.0	179217.0	7435.0	149704.0	63928.0	141016.0	84547.0
illumina_Azmicrophylla	150137.0	134040.0	134805.0	142762.0	148248.0	168366.0	3505.0	138089.0	53879.0	118424.0	69440.0
illumina_Aznilotica	2937.0	2873.0	2937.0	2902.0	2883.0	2883.0	4973.0	2017.0	0.0	2966.0	40.0
illumina_Azrubra	135300.0	107802.0	107449.0	132558.0	112786.0	128678.0	3977.0	159014.0	65709.0	97538.0	70683.0
nanopore_Azfil_lab	42280.0	38903.0	35735.0	40150.0	28925.0	29105.0	0.0	28561.0	42679.0	35620.0	35684.0
nanopore_Azpinnata	130301.0	79528.0	80339.0	88636.0	103859.0	91671.0	3032.0	69653.0	39406.0	148751.0	49467.0
nanopore_Azsp_bordeaux	54119.0	42791.0	39799.0	51989.0	40327.0	40283.0	0.0	41907.0	36784.0	47879.0	58176.0
