key	Azfil_cp1_4	illumina_Azcar1	illumina_Azcar2	illumina_Azfil_lab	illumina_Azmexicana	illumina_Azmicrophylla	illumina_Aznilotica	illumina_Azrubra	nanopore_Azfil_lab	nanopore_Azpinnata	nanopore_Azsp_bordeaux
Azfil_cp1_4	0.0	4475.0	4469.0	4.0	4702.0	4608.0	14935.0	1177.0	88.0	16963.0	4807.0
illumina_Azcar1	4401.0	0.0	47.0	4403.0	3319.0	3329.0	15449.0	4534.0	4459.0	17032.0	3542.0
illumina_Azcar2	4326.0	47.0	0.0	4278.0	3251.0	3369.0	15145.0	4242.0	4386.0	17440.0	3522.0
illumina_Azfil_lab	10.0	4490.0	4521.0	0.0	4709.0	4642.0	15491.0	1175.0	88.0	17441.0	4880.0
illumina_Azmexicana	4642.0	3303.0	3343.0	4602.0	0.0	609.0	14909.0	4670.0	4703.0	17006.0	1905.0
illumina_Azmicrophylla	4730.0	3279.0	3299.0	4693.0	572.0	0.0	15277.0	4696.0	4747.0	17198.0	1831.0
illumina_Aznilotica	19671.0	19682.0	19883.0	19299.0	19364.0	19646.0	0.0	20300.0	19677.0	18075.0	19335.0
illumina_Azrubra	1231.0	4558.0	4564.0	1225.0	4800.0	4572.0	15264.0	0.0	1268.0	17424.0	4558.0
nanopore_Azfil_lab	115.0	6005.0	6033.0	119.0	6314.0	6158.0	18950.0	1738.0	0.0	22374.0	6472.0
nanopore_Azpinnata	18080.0	17953.0	18316.0	17563.0	17949.0	18014.0	14084.0	17408.0	18042.0	0.0	18235.0
nanopore_Azsp_bordeaux	4818.0	3581.0	3614.0	4805.0	1845.0	1883.0	14808.0	4524.0	4807.0	17150.0	0.0
