key	Nazollae_Acaroliniana_1	Nazollae_Acaroliniana_2	Nazollae_Afiliculoides_lab	Nazollae_Afiliculoides_lab_nanopore	Nazollae_Afiliculoides_reference_0708	Nazollae_Afiliculoides_wild	Nazollae_Amexicana	Nazollae_Anilotica	Nazollae_Apinnata_nanopore	Nazollae_Arubra	Nazollae_Asp_nanopore	Nazollae_microphylla
Nazollae_Acaroliniana_1	0.0	1519.0	82992.0	92097.0	90728.0	84772.0	89005.0	247763.0	280241.0	85330.0	21368.0	88906.0
Nazollae_Acaroliniana_2	1808.0	0.0	82624.0	92194.0	90898.0	85319.0	89926.0	248548.0	282394.0	85703.0	21513.0	89453.0
Nazollae_Afiliculoides_lab	84337.0	84770.0	0.0	2650.0	1305.0	945.0	90612.0	247561.0	275380.0	21430.0	54891.0	90430.0
Nazollae_Afiliculoides_lab_nanopore	96455.0	99473.0	4652.0	0.0	2441.0	10036.0	99904.0	264050.0	308334.0	33990.0	82392.0	98530.0
Nazollae_Afiliculoides_reference_0708	94922.0	97578.0	4117.0	2661.0	0.0	8431.0	99048.0	265036.0	307407.0	32704.0	80805.0	97237.0
Nazollae_Afiliculoides_wild	86435.0	86576.0	1528.0	4291.0	2846.0	0.0	93078.0	251001.0	280876.0	22850.0	57832.0	93124.0
Nazollae_Amexicana	91541.0	92557.0	90041.0	100555.0	99319.0	92423.0	0.0	252632.0	283416.0	92359.0	59996.0	11902.0
Nazollae_Anilotica	246480.0	248333.0	242439.0	261285.0	260191.0	246747.0	249366.0	0.0	225294.0	245949.0	142949.0	246899.0
Nazollae_Apinnata_nanopore	276231.0	276288.0	264100.0	301784.0	301575.0	271349.0	278736.0	226256.0	0.0	272642.0	172454.0	273389.0
Nazollae_Arubra	85928.0	86514.0	21629.0	25224.0	23800.0	22419.0	91186.0	249225.0	280954.0	0.0	57090.0	90989.0
Nazollae_Asp_nanopore	21109.0	21407.0	57287.0	71968.0	71742.0	62098.0	60522.0	151812.0	173943.0	61588.0	0.0	59905.0
Nazollae_microphylla	90340.0	90703.0	91068.0	100345.0	99140.0	93349.0	11650.0	250620.0	279502.0	91370.0	58270.0	0.0
