key	Azfi_mito_v1	illumina_Azcar1	illumina_Azcar2	illumina_Azfil_lab	illumina_Azmexicana	illumina_Azmicrophylla	illumina_Aznilotica	illumina_Azrubra	nanopore_Azfil_lab	nanopore_Azpinnata	nanopore_Azsp_bordeaux
Azfi_mito_v1	0.0	1576.0	1371.0	287.0	2041.0	2417.0	67.0	1873.0	628.0	5420.0	1871.0
illumina_Azcar1	2738.0	0.0	1005.0	2797.0	3384.0	3292.0	172.0	3102.0	3063.0	7291.0	2827.0
illumina_Azcar2	2400.0	933.0	0.0	2354.0	2963.0	2680.0	70.0	2829.0	2590.0	6644.0	2640.0
illumina_Azfil_lab	520.0	3078.0	2583.0	0.0	3301.0	3766.0	106.0	2726.0	2109.0	8074.0	3730.0
illumina_Azmexicana	4039.0	4149.0	3852.0	3752.0	0.0	1056.0	618.0	5271.0	3162.0	8780.0	1731.0
illumina_Azmicrophylla	3757.0	3318.0	3174.0	3350.0	815.0	0.0	183.0	4850.0	2713.0	7258.0	1462.0
illumina_Aznilotica	91.0	96.0	96.0	91.0	111.0	110.0	0.0	46.0	0.0	103.0	0.0
illumina_Azrubra	2511.0	3178.0	2979.0	2076.0	3640.0	4137.0	204.0	0.0	2554.0	6811.0	3520.0
nanopore_Azfil_lab	560.0	1348.0	1168.0	596.0	1365.0	1421.0	0.0	1236.0	0.0	2627.0	1575.0
nanopore_Azpinnata	6635.0	4626.0	4440.0	4922.0	5843.0	5415.0	103.0	4554.0	3069.0	0.0	3743.0
nanopore_Azsp_bordeaux	1733.0	1397.0	1254.0	1732.0	815.0	757.0	0.0	1718.0	1695.0	3509.0	0.0
