key	Nazollae_Acaroliniana_1	Nazollae_Acaroliniana_2	Nazollae_Afiliculoides_lab	Nazollae_Afiliculoides_lab_nanopore	Nazollae_Afiliculoides_reference_0708	Nazollae_Afiliculoides_wild	Nazollae_Amexicana	Nazollae_Anilotica	Nazollae_Apinnata_nanopore	Nazollae_Arubra	Nazollae_Asp_nanopore	Nazollae_microphylla
Nazollae_Acaroliniana_1	4701626.0	4647046.0	4420422.0	4624414.0	4625152.0	4482973.0	4510153.0	4125915.0	4062499.0	4452492.0	2523930.0	4494425.0
Nazollae_Acaroliniana_2	4648059.0	4720601.0	4422404.0	4632934.0	4633764.0	4490051.0	4534821.0	4137926.0	4082166.0	4463312.0	2538072.0	4511270.0
Nazollae_Afiliculoides_lab	4446685.0	4457795.0	4719630.0	4704708.0	4703448.0	4670589.0	4483956.0	4113647.0	4023222.0	4493847.0	2449804.0	4475046.0
Nazollae_Afiliculoides_lab_nanopore	4586066.0	4644334.0	4577743.0	5509116.0	5503051.0	4723980.0	4576862.0	4233925.0	4277885.0	4681729.0	2981779.0	4536304.0
Nazollae_Afiliculoides_reference_0708	4581188.0	4629873.0	4556651.0	5484259.0	5486145.0	4699235.0	4576907.0	4250020.0	4283212.0	4670671.0	2992665.0	4531699.0
Nazollae_Afiliculoides_wild	4489207.0	4496758.0	4644135.0	4782749.0	4782949.0	4794733.0	4518293.0	4151137.0	4072791.0	4516332.0	2501803.0	4506004.0
Nazollae_Amexicana	4513175.0	4535974.0	4439031.0	4654828.0	4655920.0	4498808.0	4869370.0	4165019.0	4099556.0	4474892.0	2524297.0	4718535.0
Nazollae_Anilotica	4113784.0	4125650.0	4066087.0	4235787.0	4236558.0	4115740.0	4151082.0	4764543.0	4369763.0	4085687.0	2308507.0	4129545.0
Nazollae_Apinnata_nanopore	4019568.0	4016074.0	3922573.0	4233125.0	4234258.0	3987503.0	4050597.0	4342987.0	5089865.0	3984131.0	2377749.0	4015694.0
Nazollae_Arubra	4464531.0	4478211.0	4475469.0	4663880.0	4663221.0	4533902.0	4495682.0	4126155.0	4062410.0	4700441.0	2498131.0	4479569.0
Nazollae_Asp_nanopore	2690533.0	2699358.0	2595523.0	2936631.0	2935825.0	2678046.0	2671655.0	2467830.0	2486639.0	2672226.0	3101322.0	2661017.0
Nazollae_microphylla	4492530.0	4502883.0	4436985.0	4629931.0	4631559.0	4490990.0	4711508.0	4148366.0	4074764.0	4454717.0	2502661.0	4845081.0
